xla_hlo_op,anchor_id,category,suggested_abstraction_group,description,source_url,source_page,notes
RngBitGenerator,rngbitgenerator,random_generation,rng,Generates an output with a given shape filled with uniform random bits using the specified algorithm (or backend default) and returns an updated state (with the same shape as initial state) and the generated random data.,https://openxla.org/xla/operation_semantics#rngbitgenerator,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
RngGetAndUpdateState,rnggetandupdatestate,random_generation,rng,The API of the various Rng operations are internally decomposed into HLO instructions including RngGetAndUpdateState .,https://openxla.org/xla/operation_semantics#rnggetandupdatestate,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Round,round,elementwise_unary,elementwise_special,"Element-wise rounding, ties away from zero.",https://openxla.org/xla/operation_semantics#round,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Rsqrt,rsqrt,elementwise_unary,elementwise_special,Element-wise reciprocal of square root operation x -> 1.0 / sqrt(x) .,https://openxla.org/xla/operation_semantics#rsqrt,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Scan,scan,reduction_sort,reduction,"Applies a reduction function to an array across a given dimension, producing a final state and an array of intermediate values.",https://openxla.org/xla/operation_semantics#scan,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Scatter,scatter,tensor_movement,data_movement,"The XLA scatter operation generates a sequence of results which are the values of the input array operands , with several slices (at indices specified by scatter_indices ) updated with the sequence of values in updates using update_computation .",https://openxla.org/xla/operation_semantics#scatter,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Select,select,predication_selection,predication_select,"Constructs an output array from elements of two input arrays, based on the values of a predicate array.",https://openxla.org/xla/operation_semantics#select,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
SelectAndScatter,selectandscatter,predication_selection,predication_select,"This operation can be considered as a composite operation that first computes ReduceWindow on the operand array to select an element from each window, and then scatters the source array to the indices of the selected elements to construct an output array with the same shape as the operand array. The binary select function is used to select an element from each window by applying it across each window, and it is called with the property that the first parameter's index vector is lexicographically less than the second parameter's index vector. The select function returns true if the first parameter is selected and returns false if the second parameter is selected, and the function must hold transitivity (i.e., if select(a, b) and select(b, c) are true , then select(a, c) is also true ) so that the selected element does not depend on the order of the elements traversed for a given window.",https://openxla.org/xla/operation_semantics#selectandscatter,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Send,send,io_and_transfer,io_or_transfer,"Send , SendWithTokens , and SendToHost are operations that serve as communication primitives in HLO. These ops typically appear in HLO dumps as part of low-level input/output or cross-device transfer, but they are not intended to be constructed manually by end users.",https://openxla.org/xla/operation_semantics#send,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
SetDimensionSize,setdimensionsize,layout_shape_type,layout_metadata,Sets the dynamic size of XlaOp's given dimension. The operand must be array shaped.,https://openxla.org/xla/operation_semantics#setdimensionsize,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ShiftLeft,shiftleft,elementwise_binary,elementwise_alu,Performs element-wise left-shift operation on lhs by rhs number of bits.,https://openxla.org/xla/operation_semantics#shiftleft,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ShiftRightArithmetic,shiftrightarithmetic,elementwise_binary,elementwise_alu,Performs element-wise arithmetic right-shift operation on lhs by rhs number of bits.,https://openxla.org/xla/operation_semantics#shiftrightarithmetic,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ShiftRightLogical,shiftrightlogical,elementwise_binary,elementwise_alu,Performs element-wise logical right-shift operation on lhs by rhs number of bits.,https://openxla.org/xla/operation_semantics#shiftrightlogical,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Sign,sign,elementwise_unary,elementwise_special,Sign(operand) Element-wise sign operation x -> sgn(x) where,https://openxla.org/xla/operation_semantics#sign,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Sin,sin,elementwise_unary,elementwise_special,Sin(operand) Element-wise sine x -> sin(x) .,https://openxla.org/xla/operation_semantics#sin,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Slice,slice,tensor_movement,data_movement,Slicing extracts a sub-array from the input array. The sub-array has the same number of dimensions as the input and contains the values inside a bounding box within the input array where the dimensions and indices of the bounding box are given as arguments to the slice operation.,https://openxla.org/xla/operation_semantics#slice,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Sort,sort,reduction_sort,reduction,If only one operand is provided:,https://openxla.org/xla/operation_semantics#sort,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Sqrt,sqrt,elementwise_unary,elementwise_special,Element-wise square root operation x -> sqrt(x) .,https://openxla.org/xla/operation_semantics#sqrt,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Sub,sub,elementwise_binary,elementwise_alu,Performs element-wise subtraction of lhs and rhs .,https://openxla.org/xla/operation_semantics#sub,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Tan,tan,elementwise_unary,elementwise_special,Element-wise tangent x -> tan(x) .,https://openxla.org/xla/operation_semantics#tan,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Tanh,tanh,elementwise_unary,elementwise_special,Element-wise hyperbolic tangent x -> tanh(x) .,https://openxla.org/xla/operation_semantics#tanh,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
TopK,topk,reduction_sort,reduction,TopK finds the values and indices of the k largest or smallest elements for the last dimension of the given tensor.,https://openxla.org/xla/operation_semantics#topk,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Transpose,transpose,tensor_movement,data_movement,"Permutes the operand dimensions with the given permutation, so ∀ i . 0 ≤ i < number of dimensions ⇒ input_dimensions[permutation[i]] = output_dimensions[i] .",https://openxla.org/xla/operation_semantics#transpose,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
TriangularSolve,triangularsolve,linear_algebra,tensor_compute,"Solves systems of linear equations with lower or upper triangular coefficient matrices by forward- or back-substitution. Broadcasting along leading dimensions, this routine solves one of the matrix systems op(a) * x = b , or x * op(a) = b , for the variable x , given a and b , where op(a) is either op(a) = a , or op(a) = Transpose(a) , or op(a) = Conj(Transpose(a)) .",https://openxla.org/xla/operation_semantics#triangularsolve,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Tuple,tuple,tuple_structural,tuple_structural,"A tuple containing a variable number of data handles, each of which has its own shape.",https://openxla.org/xla/operation_semantics#tuple,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
While,while,control_token_async,control_or_token,Sequentially executes the body until the condition fails. This is similar to a typical while loop in many other languages except for the differences and restrictions listed below.,https://openxla.org/xla/operation_semantics#while,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Xor,xor,elementwise_binary,elementwise_alu,Performs element-wise XOR of lhs and rhs .,https://openxla.org/xla/operation_semantics#xor,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
