xla_hlo_op,description,hardware_abstraction_class,class_description,hardware_meaning,in_taidl,taidl_primitives,taidl_statuses,source_url,notes
Ceil,Element-wise ceil x -> ⌈x⌉ .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#ceil,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Clz,Element-wise count leading zeros.,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#clz,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Cos,Element-wise cosine x -> cos(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#cos,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Cosh,Element-wise hyperbolic cosine x -> cosh(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#cosh,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Erf,Element-wise error function x -> erf(x) where:,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#erf,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Exp,Element-wise natural exponential x -> e^x .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",True,exp|exponential,standard_xla|taidl_alias,https://openxla.org/xla/operation_semantics#exp,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Expm1,Element-wise natural exponential minus one x -> e^x - 1 .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#expm1,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Floor,Element-wise floor x -> ⌊x⌋ .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#floor,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Imag,"Element-wise imaginary part of a complex (or real) shape. x -> imag(x) . If the operand is a floating point type, returns 0.",special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#imag,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
IsFinite,"Tests whether each element of operand is finite, i.e., is not positive or negative infinity, and is not NaN . Returns an array of PRED values with the same shape as the input, where each element is true if and only if the corresponding input element is finite.",special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#isfinite,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Log,Element-wise natural logarithm x -> ln(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#log,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Log1p,Element-wise shifted natural logarithm x -> ln(1+x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#log1p,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Logistic,Element-wise logistic function computation x -> logistic(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#logistic,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Neg,Element-wise negation x -> -x .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#neg,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Not,Element-wise logical not x -> !(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#not,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
PopulationCount,Computes the number of bits set in each element of operand .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#populationcount,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Real,"Element-wise real part of a complex (or real) shape. x -> real(x) . If the operand is a floating point type, Real returns the same value.",special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#real,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Round,"Element-wise rounding, ties away from zero.",special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#round,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Rsqrt,Element-wise reciprocal of square root operation x -> 1.0 / sqrt(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#rsqrt,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Sign,Sign(operand) Element-wise sign operation x -> sgn(x) where,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#sign,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Sin,Sin(operand) Element-wise sine x -> sin(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#sin,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Sqrt,Element-wise square root operation x -> sqrt(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#sqrt,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Tan,Element-wise tangent x -> tan(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#tan,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Tanh,Element-wise hyperbolic tangent x -> tanh(x) .,special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",False,,,https://openxla.org/xla/operation_semantics#tanh,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
BatchNormGrad,Calculates gradients of batch norm.,specialized_compute,"Domain-specific kernels like batch norm, FFT, or triangular solve that may require dedicated decomposition or specialized units.",Often hybrid: may decompose into vector/tensor primitives or target dedicated IP.,False,,,https://openxla.org/xla/operation_semantics#batchnormgrad,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
BatchNormInference,Normalizes an array across batch and spatial dimensions.,specialized_compute,"Domain-specific kernels like batch norm, FFT, or triangular solve that may require dedicated decomposition or specialized units.",Often hybrid: may decompose into vector/tensor primitives or target dedicated IP.,False,,,https://openxla.org/xla/operation_semantics#batchnorminference,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
BatchNormTraining,Normalizes an array across batch and spatial dimensions.,specialized_compute,"Domain-specific kernels like batch norm, FFT, or triangular solve that may require dedicated decomposition or specialized units.",Often hybrid: may decompose into vector/tensor primitives or target dedicated IP.,False,,,https://openxla.org/xla/operation_semantics#batchnormtraining,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Cholesky,Computes the Cholesky decomposition of a batch of symmetric (Hermitian) positive definite matrices.,specialized_compute,"Domain-specific kernels like batch norm, FFT, or triangular solve that may require dedicated decomposition or specialized units.",Often hybrid: may decompose into vector/tensor primitives or target dedicated IP.,False,,,https://openxla.org/xla/operation_semantics#cholesky,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Fft,The XLA FFT operation implements the forward and inverse Fourier Transforms for real and complex inputs/outputs. Multidimensional FFTs on up to 3 axes are supported.,specialized_compute,"Domain-specific kernels like batch norm, FFT, or triangular solve that may require dedicated decomposition or specialized units.",Often hybrid: may decompose into vector/tensor primitives or target dedicated IP.,False,,,https://openxla.org/xla/operation_semantics#fft,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
TriangularSolve,"Solves systems of linear equations with lower or upper triangular coefficient matrices by forward- or back-substitution. Broadcasting along leading dimensions, this routine solves one of the matrix systems op(a) * x = b , or x * op(a) = b , for the variable x , given a and b , where op(a) is either op(a) = a , or op(a) = Transpose(a) , or op(a) = Conj(Transpose(a)) .",specialized_compute,"Domain-specific kernels like batch norm, FFT, or triangular solve that may require dedicated decomposition or specialized units.",Often hybrid: may decompose into vector/tensor primitives or target dedicated IP.,False,,,https://openxla.org/xla/operation_semantics#triangularsolve,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Conv (Convolution),"Computes a convolution of the kind used in neural networks. Here, a convolution can be thought of as a n-dimensional window moving across a n-dimensional base area and a computation is performed for each possible position of the window.",tensor_compute,High-arithmetic-intensity tensor algebra such as matrix multiplication and convolution.,"Best matched to matrix engines, systolic arrays, tensor cores, or other MAC-dense compute blocks.",False,,,https://openxla.org/xla/operation_semantics#conv_convolution,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Dot,The exact semantics of this operation depend on the ranks of the operands:,tensor_compute,High-arithmetic-intensity tensor algebra such as matrix multiplication and convolution.,"Best matched to matrix engines, systolic arrays, tensor cores, or other MAC-dense compute blocks.",True,dot,standard_xla,https://openxla.org/xla/operation_semantics#dot,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
GetTupleElement,Indexes into a tuple with a compile-time-constant value.,tuple_structural,IR-structural tuple packing/unpacking rather than real tensor math.,"Mostly runtime/compiler structure, often not a direct compute primitive.",False,,,https://openxla.org/xla/operation_semantics#gettupleelement,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Tuple,"A tuple containing a variable number of data handles, each of which has its own shape.",tuple_structural,IR-structural tuple packing/unpacking rather than real tensor math.,"Mostly runtime/compiler structure, often not a direct compute primitive.",False,,,https://openxla.org/xla/operation_semantics#tuple,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Add,Performs element-wise addition of lhs and rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,True,add,standard_xla,https://openxla.org/xla/operation_semantics#add,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
And,Performs element-wise AND of two tensors lhs and rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,False,,,https://openxla.org/xla/operation_semantics#and,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Atan2,Performs element-wise atan2 operation on lhs and rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,False,,,https://openxla.org/xla/operation_semantics#atan2,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Complex,"Performs element-wise conversion to a complex value from a pair of real and imaginary values, lhs and rhs .",vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,False,,,https://openxla.org/xla/operation_semantics#complex,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Div,Performs element-wise division of dividend lhs and divisor rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,True,divide,standard_xla,https://openxla.org/xla/operation_semantics#div,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Max,Performs element-wise max operation on tensors lhs and rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,True,maximum,standard_xla,https://openxla.org/xla/operation_semantics#max,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Min,Performs element-wise min operation on lhs and rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,True,minimum,standard_xla,https://openxla.org/xla/operation_semantics#min,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Mul,Performs element-wise product of lhs and rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,True,multiply,standard_xla,https://openxla.org/xla/operation_semantics#mul,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Or,Performs element-wise OR of lhs and rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,False,,,https://openxla.org/xla/operation_semantics#or,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Pow,Performs element-wise exponentiation of lhs by rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,False,,,https://openxla.org/xla/operation_semantics#pow,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Rem,Performs element-wise remainder of dividend lhs and divisor rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,False,,,https://openxla.org/xla/operation_semantics#rem,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ShiftLeft,Performs element-wise left-shift operation on lhs by rhs number of bits.,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,False,,,https://openxla.org/xla/operation_semantics#shiftleft,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ShiftRightArithmetic,Performs element-wise arithmetic right-shift operation on lhs by rhs number of bits.,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,False,,,https://openxla.org/xla/operation_semantics#shiftrightarithmetic,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ShiftRightLogical,Performs element-wise logical right-shift operation on lhs by rhs number of bits.,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,False,,,https://openxla.org/xla/operation_semantics#shiftrightlogical,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Sub,Performs element-wise subtraction of lhs and rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,True,subtract,standard_xla,https://openxla.org/xla/operation_semantics#sub,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Xor,Performs element-wise XOR of lhs and rhs .,vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,True,xor,standard_xla,https://openxla.org/xla/operation_semantics#xor,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
